date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-06-07,gun,36.0,White,Melbourne,Florida,False,attack,Not fleeing,False,-80.606,28.084
2015-06-07,gun,58.0,White,Woodland,Washington,True,attack,Not fleeing,False,-122.75,45.903
2015-06-08,gun,54.0,NG,Beech Grove,Indiana,True,attack,Not fleeing,False,-86.086,39.722
2015-06-08,knife,30.0,Hispanic,Anaheim,California,True,other,Not fleeing,True,-117.922,33.847
2015-06-08,gun,69.0,White,Sun City,Arizona,True,attack,Not fleeing,False,-112.257,33.631
2015-06-09,unarmed,30.0,White,Findlay,Ohio,False,attack,Not fleeing,False,-83.662,41.037
2015-06-09,gun,45.0,White,Tomball,Texas,False,attack,Car,False,-95.617,30.031
2015-06-09,gun,22.0,Black,Cincinnati,Ohio,False,attack,Not fleeing,False,-84.546,39.164
2015-06-09,unarmed,28.0,White,Des Moines,Iowa,False,other,Car,False,-93.698,41.623
2015-06-10,gun,19.0,Black,Bronx,New York,False,attack,Not fleeing,False,-73.896,40.856
2015-06-11,gun,40.0,Black,Pompano Beach,Florida,False,attack,Not fleeing,False,-80.105,26.276
2015-06-11,gun,86.0,NG,Columbia,Tennessee,True,attack,Not fleeing,False,-86.943,35.633
2015-06-11,NG,46.0,Black,Miami,Florida,False,other,Not fleeing,False,-80.2,25.787
2015-06-11,gun,28.0,Hispanic,Bexar County,Texas,True,attack,Not fleeing,False,-98.355,29.523
2015-06-11,knife,22.0,Hispanic,Hackensack,New Jersey,True,other,Not fleeing,False,-74.04,40.907
2015-06-12,toy gun,17.0,White,Kokomo,Indiana,True,attack,Not fleeing,False,-86.165,40.469
2015-06-13,gun,46.0,White,Fort Wayne,Indiana,False,attack,Not fleeing,False,-85.156,41.098
2015-06-13,deadly blunt objects,35.0,Black,Louisville,Kentucky,False,other,Not fleeing,False,-85.76,38.235
2015-06-13,gun,35.0,White,Hutchins,Texas,True,attack,Not fleeing,False,-96.708,32.648
2015-06-14,NG,28.0,Hispanic,Stockton,California,False,attack,Car,False,-121.343,37.977
2015-06-14,gun,15.0,White,Cocoa,Florida,True,attack,Not fleeing,False,-80.792,28.36
2015-06-15,unarmed,22.0,Black,South Lake Tahoe,California,False,other,Foot,False,-119.951,38.951
2015-06-16,gun,28.0,Hispanic,Visalia,California,False,attack,Not fleeing,False,-119.313,36.305
